wavs/clip_000001.wav|Нартæн сæ цæхæрадоны задис иу фæткъуы бæлас; йæ дидинджытæ-иу æрттывтой æрвыгау, æмæ йыл задис иунæг фæткъуы.|Нартæн сæ цæхæрадоны задис иу фæткъуы бæлас; йæ дидинджытæ-иу æрттывтой æрвыгау, æмæ йыл задис иунæг фæткъуы.
wavs/clip_000002.wav|Фæткъуы уыдис сызгъæрин фæткъуы, зынгау æрттывдтытæ калдта.|Фæткъуы уыдис сызгъæрин фæткъуы, зынгау æрттывдтытæ калдта.
wavs/clip_000003.wav|Æмæ уыдис æлутоны хос адæмæн, иу адзал не здæхта фæстæмæ, уыййедтæмæ цы хъæдгом нæ дзæбæх кодта, цы низæй нæ ирвæзын кодта, ахæм нæ уыдис.|Æмæ уыдис æлутоны хос адæмæн, иу адзал не здæхта фæстæмæ, уыййедтæмæ цы хъæдгом нæ дзæбæх кодта, цы низæй нæ ирвæзын кодта, ахæм нæ уыдис.
wavs/clip_000004.wav|Бон-изæрмæ-иу арæгъæд ис уыцы фæткъуы, æхсæв та-иу æй цыдæр адавта.|Бон-изæрмæ-иу арæгъæд ис уыцы фæткъуы, æхсæв та-иу æй цыдæр адавта.
wavs/clip_000005.wav|Æмæ йæ хъахъхъæдтой радыгай Нарт; æмæ йæ ничи фæрæзта бахъахъхъæнын.|Æмæ йæ хъахъхъæдтой радыгай Нарт; æмæ йæ ничи фæрæзта бахъахъхъæнын.
wavs/clip_000006.wav|Уæд иу бон æрзылдис Уæрхæгæн йæхи рад.|Уæд иу бон æрзылдис Уæрхæгæн йæхи рад.
wavs/clip_000007.wav|Æрбасидтис йæ фырттæм, Æхсар æмæ Æхсæртæгмæ, Уæрхæг æмæ сын загъта: - Ай уын фæндæггаг.|Æрбасидтис йæ фырттæм, Æхсар æмæ Æхсæртæгмæ, Уæрхæг æмæ сын загъта: - Ай уын фæндæггаг.
wavs/clip_000008.wav|Ацæут, мæ хуртæ, æмæ уæ цæхæрадон бахъахъхъæнут.|Ацæут, мæ хуртæ, æмæ уæ цæхæрадон бахъахъхъæнут.
wavs/clip_000009.wav|Кæннод райсом Æртæ Нарты хæдзарæн лæгæй æрбацæудзысты æмæ уæ иуæн йæ сæр ракæндзысты, иннæмæн – йæ цонг æмæ сæ дыууæ михыл æрсадздзысты, æмæ Æртæ Нарты ‘хсæн дзæгъæлæй баззайдзынæн, æнæ дарæгæй.|Кæннод райсом Æртæ Нарты хæдзарæн лæгæй æрбацæудзысты æмæ уæ иуæн йæ сæр ракæндзысты, иннæмæн – йæ цонг æмæ сæ дыууæ михыл æрсадздзысты, æмæ Æртæ Нарты ‘хсæн дзæгъæлæй баззайдзынæн, æнæ дарæгæй.
wavs/clip_000010.wav|- Ма тæрс, нæ фыд, мах ацæудзыстæм æмæ бæлас бахъахъхъæндзыстæм!|- Ма тæрс, нæ фыд, мах ацæудзыстæм æмæ бæлас бахъахъхъæндзыстæм!
wavs/clip_000011.wav|Уæрхæг сын загъта: - Цæугæ бæргæ акæндзыстут, фæлæ тæрсын, фæстæмæ куынæуал æрцæуат – куы нæ йæ бафæразат бахъахъхъæнын.|Уæрхæг сын загъта: - Цæугæ бæргæ акæндзыстут, фæлæ тæрсын, фæстæмæ куынæуал æрцæуат – куы нæ йæ бафæразат бахъахъхъæнын.
wavs/clip_000012.wav|Цæхæрадон уыдис саджы сыкъатæй бæрзонд æхгæд – маргъ æрбахатæн дæр æм нæ уыд.|Цæхæрадон уыдис саджы сыкъатæй бæрзонд æхгæд – маргъ æрбахатæн дæр æм нæ уыд.
